tanggal,seas,anom,total
2001-07-01,SON,-0.54,26.14
2001-09-01,OND,-0.76,25.87
2001-09-01,AMJ,-0.19,27.59
2001-11-01,NDJ,-0.78,25.78
2001-11-01,MJJ,-0.08,27.53
2002-01-01,JJA,-0.05,27.24
2002-01-01,DJF,-0.15,26.46
2002-03-01,JAS,-0.13,26.86
2002-03-01,JFM,0.07,26.86
2002-05-01,ASO,-0.15,26.67
2002-05-01,FMA,0.11,27.34
2002-07-01,MAM,0.15,27.78
2002-07-01,SON,-0.26,26.52
2002-09-01,OND,-0.33,26.4
2002-09-01,AMJ,0.3,28.08
2002-11-01,MJJ,0.45,28.05
2002-11-01,NDJ,-0.32,26.32
2003-01-01,JJA,0.57,27.85
2003-01-01,DJF,0.9,27.51
2003-03-01,JAS,0.63,27.62
2003-03-01,JFM,0.59,27.39
2003-05-01,ASO,0.78,27.6
2003-05-01,FMA,0.38,27.61
2003-07-01,MAM,-0.01,27.62
2003-07-01,SON,0.99,27.77
2003-09-01,OND,1.19,27.92
2003-09-01,AMJ,-0.18,27.6
2003-11-01,MJJ,-0.13,27.47
2003-11-01,NDJ,1.08,27.72
2004-01-01,DJF,0.34,26.95
2004-01-01,JJA,0.09,27.38
2004-03-01,JFM,0.27,27.06
2004-03-01,JAS,0.14,27.13
2004-05-01,ASO,0.23,27.05
2004-05-01,FMA,0.19,27.41
2004-07-01,MAM,0.1,27.72
2004-07-01,SON,0.23,27.0
2004-09-01,OND,0.29,27.02
2004-09-01,AMJ,0.12,27.9
2004-11-01,NDJ,0.29,26.93
2004-11-01,MJJ,0.22,27.83
2005-01-01,DJF,0.62,27.23
2005-01-01,JJA,0.39,27.67
2005-03-01,JAS,0.54,27.53
2005-03-01,JFM,0.55,27.35
2005-05-01,ASO,0.58,27.4
2005-05-01,FMA,0.4,27.62
2005-07-01,SON,0.61,27.38
2005-07-01,MAM,0.37,27.99
2005-09-01,AMJ,0.27,28.05
2005-09-01,OND,0.64,27.37
2005-11-01,NDJ,0.71,27.34
2005-11-01,MJJ,0.09,27.7
2006-01-01,JJA,-0.04,27.24
2006-01-01,DJF,-0.86,25.83
2006-03-01,JFM,-0.8,26.11
2006-03-01,JAS,-0.14,26.85
2006-05-01,ASO,-0.11,26.71
2006-05-01,FMA,-0.63,26.71
2006-07-01,MAM,-0.45,27.28
2006-07-01,SON,-0.27,26.5
2006-09-01,OND,-0.57,26.16
2006-09-01,AMJ,-0.19,27.69
2006-11-01,MJJ,-0.05,27.63
2006-11-01,NDJ,-0.82,25.86
2007-01-01,JJA,0.12,27.45
2007-01-01,DJF,0.62,27.3
2007-03-01,JFM,0.19,27.1
2007-03-01,JAS,0.33,27.32
2007-05-01,ASO,0.54,27.34
2007-05-01,FMA,-0.12,27.22
2007-07-01,MAM,-0.32,27.41
2007-07-01,SON,0.71,27.47
2007-09-01,OND,0.88,27.6
2007-09-01,AMJ,-0.34,27.54
2007-11-01,NDJ,0.88,27.55
2007-11-01,MJJ,-0.41,27.27
2008-01-01,DJF,-1.76,24.92
2008-01-01,JJA,-0.49,26.84
2008-03-01,JAS,-0.77,26.22
2008-03-01,JFM,-1.61,25.29
2008-05-01,ASO,-1.05,25.75
2008-05-01,FMA,-1.37,25.97
2008-07-01,MAM,-1.05,26.69
2008-07-01,SON,-1.38,25.38
2008-09-01,OND,-1.57,25.15
2008-09-01,AMJ,-0.85,27.03
2008-11-01,NDJ,-1.72,24.95
2008-11-01,MJJ,-0.56,27.13
2009-01-01,JJA,-0.33,26.99
2009-01-01,DJF,-0.89,25.79
2009-03-01,JAS,-0.2,26.78
2009-03-01,JFM,-0.84,26.07
2009-05-01,ASO,-0.25,26.55
2009-05-01,FMA,-0.63,26.71
2009-07-01,MAM,-0.35,27.38
2009-07-01,SON,-0.36,26.4
2009-09-01,OND,-0.57,26.15
